Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Churn,Customer Value
0,0,36,0,650,11,8,6,2,1,2,0,32.85
0,0,35,0,0,0,0,0,2,1,2,1,0
0,0,35,0,7448,124,379,41,2,1,1,0,505.71
4,0,35,0,11405,151,6,45,3,1,1,0,343.95
5,0,35,0,6658,72,103,35,2,1,1,0,345.96
20,0,31,0,895,44,11,15,2,1,2,1,45.225
18,0,34,7,10375,90,0,40,4,1,1,0,155.625
10,0,34,0,5758,95,21,22,2,1,1,1,268.56
0,0,32,0,2780,19,0,12,3,1,1,0,83.4
6,0,33,0,2930,38,4,14,2,1,2,1,133.65
6,1,34,0,2208,41,29,29,3,1,2,1,74.94
0,1,34,0,0,0,0,0,3,1,2,1,0
0,0,34,0,1608,22,0,4,3,1,1,0,48.24
0,0,31,0,6725,94,9,20,4,1,1,0,102.225
0,0,34,0,568,4,4,2,4,1,2,1,9.12
0,0,34,0,0,0,0,0,5,1,1,0,0
22,0,29,2,16015,235,0,78,2,1,1,0,720.675
3,0,32,2,6905,113,266,31,2,2,1,0,430.425
0,0,34,0,3658,79,0,26,2,1,1,0,164.61
0,0,33,0,1605,41,33,18,3,1,2,0,58.05
3,0,34,0,2720,50,170,21,2,1,1,0,198.9
1,0,25,0,1255,33,188,9,2,2,1,0,141.075
1,0,24,0,1508,36,25,66,4,1,1,0,26.37
8,0,25,0,640,22,5,5,2,1,2,0,31.05
0,1,24,0,765,7,16,1,4,1,2,1,13.875
7,0,23,0,1165,29,14,11,2,1,1,0,58.725
0,0,23,0,3165,58,3,21,3,1,1,0,95.85
0,0,16,0,1635,23,23,12,2,1,1,0,83.925
13,0,15,0,6333,138,80,40,1,2,1,0,427.98
9,0,13,0,8873,168,68,38,4,1,1,0,143.295
5,0,14,2,2793,42,26,17,3,1,1,0,91.59
0,0,7,0,4330,37,210,8,3,1,1,0,192.9
0,0,7,0,1428,16,0,5,3,1,1,1,42.84
9,0,42,1,4450,73,15,21,3,1,1,0,138
1,1,43,0,398,7,17,8,3,1,2,1,17.04
11,0,41,1,2533,62,369,28,3,1,1,0,186.69
11,0,42,1,4278,68,11,39,1,1,1,0,263.28
4,0,42,1,2473,60,12,37,2,1,1,0,116.685
12,0,42,2,3855,84,42,32,3,1,1,0,128.25
5,0,42,1,2440,41,295,22,3,1,1,0,161.7
14,0,41,3,9195,123,154,47,3,1,1,0,322.05
8,0,42,1,13853,171,10,48,3,1,1,0,418.59
8,0,42,2,4595,85,12,29,3,1,1,0,141.45
7,0,42,1,5998,97,17,16,3,1,1,0,185.04
10,0,42,0,2318,56,18,21,3,1,2,0,74.94
26,0,42,4,15220,227,64,36,3,2,1,0,475.8
5,0,42,2,3175,29,493,12,3,1,1,0,243.15
10,0,41,1,15565,184,160,34,2,1,1,0,772.425
4,0,41,2,6580,88,196,30,3,1,1,0,256.2
1,0,41,0,955,16,10,15,2,1,2,0,47.475
3,0,42,0,790,16,23,12,3,1,2,0,30.6
1,0,41,0,80,2,10,4,2,1,2,1,8.1
4,0,41,1,7588,129,394,47,3,1,1,0,345.84
8,0,41,2,11545,156,21,51,4,1,1,0,176.325
9,0,41,2,6798,77,118,41,2,1,1,0,359.01
24,1,37,0,1035,49,26,21,3,1,2,1,38.85
22,1,40,9,10515,95,11,46,5,1,1,0,53.125
14,0,40,2,5898,100,36,28,2,1,1,1,281.61
2,0,38,1,2920,24,10,18,3,1,1,0,90.6
10,0,39,0,3070,43,19,20,3,1,2,1,97.8
10,1,40,0,2348,46,44,35,3,1,2,1,83.64
1,0,40,0,213,4,10,6,3,1,2,1,9.39
2,0,40,1,1748,27,10,10,4,1,1,0,27.72
4,0,37,2,6865,99,24,26,5,1,1,0,35.525
1,1,40,0,708,9,19,8,4,1,2,1,13.47
1,0,40,2,418,6,14,6,5,1,1,0,2.79
26,0,35,4,16155,240,10,84,2,1,1,0,731.475
7,1,38,4,7045,118,281,37,2,2,1,0,443.475
3,0,40,1,3798,84,12,32,3,1,1,0,117.54
4,0,39,0,1745,46,48,24,3,1,2,0,66.75
7,0,40,1,2860,55,185,27,2,1,1,0,211.95
5,0,31,2,1395,38,203,15,2,2,1,0,154.125
5,0,30,1,1648,41,40,72,4,1,1,0,30.72
12,0,31,0,780,27,20,11,3,1,2,0,29.4
1,0,30,0,905,12,31,7,4,1,2,0,18.225
11,0,29,1,1305,34,29,17,2,1,1,0,71.775
3,0,29,1,3305,63,18,27,3,1,1,0,104.55
3,0,22,1,1775,28,38,18,2,1,1,0,96.975
17,0,21,2,6473,143,95,46,2,2,1,0,334.035
13,0,19,1,9013,173,83,44,5,1,1,0,49.215
9,0,20,4,2933,47,41,23,3,1,1,0,100.29
3,0,13,2,4470,42,225,14,3,1,1,0,201.6
4,0,13,2,1568,21,10,11,3,1,1,1,50.04
7,0,34,0,4290,69,0,13,2,1,1,0,193.05
0,0,35,0,0,0,0,0,2,1,2,0,0
9,0,33,0,2373,58,349,20,2,1,1,0,263.835
9,0,34,0,4118,64,0,31,1,1,1,0,247.08
2,0,34,0,2313,56,0,29,1,1,1,0,138.78
10,0,34,0,3695,80,22,24,3,1,1,0,117.45
3,0,34,0,2280,37,275,14,3,1,1,0,150.9
12,0,33,1,9035,119,134,39,3,1,1,0,311.25
6,0,34,0,13693,167,0,40,3,1,1,0,410.79
6,0,34,0,4435,81,0,21,3,1,1,0,133.05
5,0,34,0,5838,93,0,8,2,1,1,0,262.71
8,0,34,0,2158,52,0,13,3,1,2,0,64.74
24,0,34,2,15060,223,44,28,3,1,1,0,465
3,0,34,0,3015,25,473,4,3,1,1,0,232.35
8,0,33,0,15405,180,140,26,2,1,1,0,756.225
2,0,33,0,6420,84,176,22,3,1,1,0,245.4
0,0,33,0,795,12,0,7,2,1,2,0,35.775
1,0,34,0,630,12,3,4,2,1,2,0,29.7
0,0,33,0,0,0,0,0,2,1,2,1,0
2,0,33,0,7428,125,374,39,2,1,1,0,502.56
6,0,33,0,11385,152,1,43,3,1,1,0,341.85
7,0,33,0,6638,73,98,33,2,1,1,0,342.81
22,0,29,0,875,45,6,13,2,1,2,1,42.075
20,0,32,7,10355,91,0,38,4,1,1,0,155.325
12,1,32,0,5738,96,16,20,2,1,1,1,265.41
0,0,30,0,2760,20,0,10,3,1,1,0,82.8
8,1,31,0,2910,39,0,12,3,1,2,1,87.3
8,0,32,0,2188,42,24,27,3,1,2,1,72.84
0,1,32,0,0,0,0,0,3,1,2,1,0
0,0,32,0,1588,23,0,2,3,1,1,0,47.64
2,0,29,0,6705,95,4,18,4,1,1,0,101.175
0,0,32,0,0,0,0,0,4,1,2,1,0
0,0,32,0,0,0,0,0,5,1,1,0,0
24,0,27,2,15995,236,0,76,2,1,1,0,719.775
5,0,30,2,6885,114,261,29,2,2,1,0,427.275
1,0,32,0,3638,80,0,24,2,1,1,0,163.71
2,0,31,0,1585,42,28,16,3,1,2,0,55.95
5,0,32,0,2700,51,165,19,2,1,1,0,195.75
3,0,23,0,1235,34,183,7,2,2,1,0,137.925
3,0,22,0,1488,37,20,64,4,1,1,0,25.32
10,0,23,0,620,23,0,3,2,1,2,0,27.9
0,0,22,0,0,0,11,0,4,1,2,0,1.65
9,0,21,0,1145,30,9,9,2,1,1,0,55.575
1,0,21,0,3145,59,0,19,3,1,1,0,94.35
1,0,14,0,1615,24,18,10,2,1,1,0,80.775
15,0,13,0,6313,139,75,38,1,2,1,0,423.78
11,0,11,0,8853,169,63,36,4,1,1,0,142.245
7,0,12,2,2773,43,21,15,3,1,1,0,89.49
1,0,5,0,4310,38,205,6,3,1,1,0,190.8
2,0,5,0,1408,17,0,3,3,1,1,1,42.24
13,0,44,1,4630,81,20,23,3,1,1,0,144.9
5,0,45,0,578,15,22,10,3,1,2,0,23.94
15,0,43,1,2713,70,374,30,3,1,1,0,193.59
15,0,44,1,4458,76,16,41,1,1,1,0,277.08
8,0,44,1,2653,68,17,39,2,1,1,0,127.035
16,0,44,2,4035,92,47,34,3,1,1,0,135.15
9,0,44,1,2620,49,300,24,3,1,1,0,168.6
18,0,43,3,9375,131,159,49,3,1,1,0,328.95
12,0,44,1,14033,179,15,50,3,1,1,0,425.49
12,0,44,2,4775,93,17,31,3,1,1,0,148.35
11,0,44,1,6178,105,22,18,3,1,1,0,191.94
14,1,44,0,2498,64,23,23,3,1,2,0,81.84
30,0,44,4,15400,235,69,38,3,1,1,0,482.7
9,0,44,2,3355,37,498,14,3,1,1,0,250.05
14,0,43,1,15745,192,165,36,2,1,1,0,782.775
8,0,43,2,6760,96,201,32,3,1,1,0,263.1
5,0,43,0,1135,24,15,17,2,1,2,0,57.825
7,0,44,0,970,24,28,14,3,1,2,0,37.5
5,0,43,0,260,10,15,6,2,1,2,1,18.45
8,0,43,1,7768,137,399,49,3,1,1,0,352.74
12,0,43,2,11725,164,26,53,4,1,1,0,179.775
13,0,43,2,6978,85,123,43,2,1,1,0,369.36
28,1,39,0,1215,57,31,23,3,1,2,1,45.75
26,0,42,9,10695,103,16,48,5,2,1,0,54.275
18,0,42,2,6078,108,41,30,2,1,1,0,291.96
6,0,40,1,3100,32,15,20,3,1,1,0,97.5
14,1,41,0,3250,51,24,22,3,1,2,1,104.7
14,1,42,0,2528,54,49,37,4,1,2,1,45.27
5,0,42,0,393,12,15,8,3,1,2,1,16.29
6,0,42,1,1928,35,15,12,4,1,1,0,31.17
8,0,39,2,7045,107,29,28,5,1,1,0,36.675
5,0,42,0,888,17,24,10,4,1,2,1,16.92
5,0,42,2,598,14,19,8,5,1,1,0,3.94
30,1,37,4,16335,248,15,86,2,1,1,0,741.825
11,1,40,4,7225,126,286,39,3,2,1,0,302.55
7,0,42,1,3978,92,17,34,3,1,1,0,124.44
8,0,41,0,1925,54,53,26,3,1,2,0,73.65
11,0,42,1,3040,63,190,29,2,1,1,0,222.3
9,0,33,2,1575,46,208,17,3,2,1,0,109.65
9,0,32,1,1828,49,45,74,5,1,1,0,11.39
16,0,33,0,960,35,25,13,3,1,2,0,36.3
5,0,32,0,1085,20,36,9,4,1,2,0,21.675
15,0,31,1,1485,42,34,19,2,1,1,0,82.125
7,0,31,1,3485,71,23,29,3,1,1,0,111.45
7,0,24,1,1955,36,43,20,3,1,1,0,71.55
21,0,23,2,6653,151,100,48,2,2,1,0,344.385
17,0,21,1,9193,181,88,46,5,1,1,0,50.365
13,0,22,4,3113,55,46,25,3,1,1,0,107.19
7,0,15,2,4650,50,230,16,3,1,1,0,208.5
8,1,15,2,1748,29,15,13,3,1,1,1,56.94
3,0,32,0,4110,61,0,11,2,1,1,0,184.95
0,0,33,0,0,0,0,0,2,1,2,0,0
5,0,31,0,2193,50,344,18,2,1,1,0,253.485
5,0,32,0,3938,56,0,29,1,1,1,0,236.28
0,0,32,0,2133,48,0,27,1,1,1,0,127.98
6,0,32,0,3515,72,17,22,2,1,1,0,165.825
0,0,32,0,2100,29,270,12,3,1,1,0,144
8,0,31,1,8855,111,129,37,3,1,1,0,304.35
2,0,32,0,13513,159,0,38,3,1,1,0,405.39
2,0,32,0,4255,73,0,19,3,1,1,0,127.65
1,0,32,0,5658,85,0,6,2,1,1,0,254.61
4,0,32,0,1978,44,0,11,3,1,2,0,59.34
20,0,32,2,14880,215,39,26,3,1,1,0,458.1
0,0,32,0,2835,17,468,2,3,1,1,0,225.45
4,0,31,0,15225,172,135,24,2,1,1,0,745.875
0,0,31,0,6240,76,171,20,3,1,1,0,238.5
0,0,31,0,615,4,0,5,2,1,2,0,27.675
0,0,32,0,450,4,0,2,2,1,2,0,20.25
0,0,31,0,0,0,0,0,2,1,2,1,0
0,0,31,0,7248,117,369,37,2,1,1,0,492.21
2,0,31,0,11205,144,0,41,3,1,1,0,336.15
3,0,31,0,6458,65,93,31,2,1,1,0,332.46
18,1,27,0,695,37,1,11,2,1,2,1,31.725
16,0,30,7,10175,83,0,36,4,1,1,0,152.625
8,1,30,0,5558,88,11,18,2,1,1,1,255.06
0,0,28,0,2580,12,0,8,3,1,1,0,77.4
4,0,29,0,2730,31,0,10,2,1,2,1,122.85
4,1,30,0,2008,34,19,25,3,1,2,1,65.94
0,0,30,0,0,0,0,0,3,1,2,1,0
0,0,30,0,0,0,0,0,3,1,1,0,0
0,0,27,0,6525,87,0,16,4,1,1,0,97.875
0,1,30,0,0,0,0,0,4,1,2,1,0
0,1,30,0,0,0,0,0,5,1,1,1,0
20,0,25,2,15815,228,0,74,2,1,1,0,711.675
1,0,28,2,6705,106,256,27,2,2,1,0,416.925
0,0,30,0,3458,72,0,22,2,1,1,0,155.61
0,0,29,0,1405,34,23,14,3,1,2,0,49.05
1,0,30,0,2520,43,160,17,2,1,1,0,185.4
0,0,21,0,1055,26,178,5,2,2,1,0,127.575
0,0,20,0,1308,29,15,62,4,1,1,0,21.87
6,0,21,0,440,15,0,1,2,1,2,0,19.8
0,0,20,0,0,0,6,0,4,1,2,0,0.9
5,0,19,0,965,22,4,7,2,1,1,0,45.225
0,0,19,0,2965,51,0,17,3,1,1,0,88.95
0,0,12,0,1435,16,13,8,2,1,1,0,70.425
11,0,11,0,6133,131,70,36,1,2,1,0,409.98
7,0,9,0,8673,161,58,34,4,1,1,0,138.795
3,0,10,2,2593,35,16,13,3,1,1,0,82.59
0,0,3,0,4130,30,200,4,3,1,1,0,183.9
0,1,3,0,1228,9,0,1,2,1,1,1,55.26
10,0,41,0,4550,79,16,22,3,1,1,0,141.3
2,0,42,0,498,13,18,9,2,1,2,0,30.51
12,0,40,0,2633,68,370,29,3,1,1,0,189.99
12,0,41,0,4378,74,12,40,1,1,1,0,269.88
5,0,41,0,2573,66,13,38,1,1,1,0,162.18
13,0,41,1,3955,90,43,33,3,1,1,0,131.55
6,0,41,0,2540,47,296,23,3,1,1,0,165
15,0,40,2,9295,129,155,48,3,1,1,0,325.35
9,0,41,0,13953,177,11,49,3,1,1,0,421.89
9,0,41,1,4695,91,13,30,3,1,1,0,144.75
8,0,41,0,6098,103,18,17,3,1,1,0,188.34
11,0,41,0,2418,62,19,22,3,1,2,0,78.24
27,0,41,3,15320,233,65,37,3,1,1,0,479.1
6,0,41,1,3275,35,494,13,3,1,1,0,246.45
11,0,40,0,15665,190,161,35,2,1,1,0,777.375
5,0,40,1,6680,94,197,31,3,1,1,0,259.5
2,0,40,0,1055,22,11,16,2,1,2,0,52.425
4,0,41,0,890,22,24,13,3,1,2,0,33.9
2,0,40,0,180,8,11,5,2,1,2,1,13.05
5,0,40,0,7688,135,395,48,2,1,1,0,523.71
9,0,40,1,11645,162,22,52,4,1,1,0,177.975
10,0,40,1,6898,83,119,42,2,1,1,0,363.96
25,1,36,0,1135,55,27,22,2,1,2,1,63.225
23,0,39,8,10615,101,12,47,5,1,1,0,53.675
15,0,39,1,5998,106,37,29,2,1,1,0,286.56
3,0,37,0,3020,30,11,19,3,1,1,0,93.9
11,1,38,0,3170,49,20,21,3,1,2,1,101.1
11,1,39,0,2448,52,45,36,3,1,2,1,86.94
2,1,39,0,313,10,11,7,3,1,2,1,12.69
3,0,39,0,1848,33,11,11,3,1,1,0,58.74
5,0,36,1,6965,105,25,27,5,1,1,0,36.075
2,0,39,0,808,15,20,9,4,1,2,1,15.12
2,0,39,1,518,12,15,7,5,1,1,0,3.34
27,1,34,3,16255,246,11,85,2,1,1,0,736.425
8,0,37,3,7145,124,282,38,2,2,1,0,448.425
4,0,39,0,3898,90,13,33,2,1,1,0,181.26
5,0,38,0,1845,52,49,25,3,1,2,0,70.05
8,0,39,0,2960,61,186,28,2,1,1,0,216.9
6,1,30,1,1495,44,204,16,2,2,1,1,159.075
6,0,29,0,1748,47,41,73,4,1,1,0,32.37
13,0,30,0,880,33,21,12,2,1,2,0,49.05
2,0,29,0,1005,18,32,8,4,1,2,0,19.875
12,0,28,0,1405,40,30,18,2,1,1,0,76.725
4,0,28,0,3405,69,19,28,3,1,1,0,107.85
4,0,21,0,1875,34,39,19,2,1,1,0,101.925
18,0,20,1,6573,149,96,47,2,2,1,0,338.985
14,0,18,0,9113,179,84,45,4,1,1,0,149.295
10,0,19,3,3033,53,42,24,3,1,1,0,103.59
4,0,12,1,4570,48,226,15,3,1,1,0,204.9
5,0,12,1,1668,27,11,12,3,1,1,1,53.34
6,0,35,0,4190,63,0,12,3,1,1,0,125.7
0,0,36,0,0,0,0,0,2,1,2,0,0
8,0,34,0,2273,52,348,19,3,1,1,0,172.59
8,0,35,0,4018,58,0,30,1,1,1,0,241.08
1,0,35,0,2213,50,0,28,1,1,1,0,132.78
9,0,35,1,3595,74,21,23,3,1,1,0,114.15
2,0,35,0,2180,31,274,13,3,1,1,0,147.6
11,0,34,2,8935,113,133,38,3,1,1,0,307.95
5,0,35,0,13593,161,0,39,3,1,1,0,407.79
5,0,35,1,4335,75,0,20,3,1,1,0,130.05
4,0,35,0,5738,87,0,7,3,1,1,0,172.14
7,0,35,0,2058,46,0,12,3,1,2,0,61.74
23,0,35,3,14960,217,43,27,3,1,1,0,461.7
2,0,35,1,2915,19,472,3,3,1,1,0,229.05
7,0,34,0,15305,174,139,25,2,1,1,0,751.275
1,0,34,1,6320,78,175,21,3,1,1,0,242.1
0,0,34,0,695,6,0,6,2,1,2,0,31.275
0,0,35,0,530,6,2,3,3,1,2,0,16.5
0,1,34,0,0,0,0,0,2,1,2,1,0
1,0,34,0,7328,119,373,38,2,1,1,0,497.61
5,0,34,1,11285,146,0,42,4,1,1,0,169.275
6,0,34,1,6538,67,97,32,2,1,1,0,337.86
21,1,30,0,775,39,5,12,2,1,2,1,37.125
19,0,33,8,10255,85,0,37,5,1,1,0,51.275
11,1,33,1,5638,90,15,19,2,1,1,1,260.46
0,0,31,0,2660,14,0,9,3,1,1,0,79.8
7,0,32,0,2810,33,0,11,3,1,2,1,84.3
7,1,33,0,2088,36,23,26,3,1,2,1,69.54
0,0,33,0,0,0,0,0,3,1,2,1,0
0,0,33,0,1488,17,0,1,3,1,1,0,44.64
1,0,30,1,6605,89,3,17,5,1,1,0,33.175
0,0,33,0,0,0,0,0,4,1,2,1,0
0,0,33,0,0,0,0,0,5,1,1,0,0
23,0,28,3,15895,230,0,75,2,1,1,0,715.275
4,0,31,3,6785,108,260,28,2,2,1,0,422.325
0,0,33,0,3538,74,0,23,2,1,1,0,159.21
1,0,32,0,1485,36,27,15,3,1,2,0,52.65
4,0,33,0,2600,45,164,18,2,1,1,0,190.8
2,0,24,1,1135,28,182,6,2,2,1,0,132.975
2,0,23,0,1388,31,19,63,4,1,1,0,23.67
9,0,24,0,520,17,0,2,2,1,2,0,23.4
0,0,23,0,0,0,10,0,4,1,2,0,1.5
8,0,22,0,1045,24,8,8,2,1,1,0,50.625
0,0,22,0,3045,53,0,18,3,1,1,0,91.35
0,0,15,0,1515,18,17,9,2,1,1,0,75.825
14,0,14,1,6213,133,74,37,2,2,1,0,312.885
10,0,12,0,8753,163,62,35,4,1,1,0,140.595
6,0,13,3,2673,37,20,14,3,1,1,0,86.19
0,0,6,1,4210,32,204,5,3,1,1,0,187.5
1,0,6,1,1308,11,0,2,3,1,1,1,39.24
12,0,38,2,4970,81,26,32,3,1,1,0,156.9
4,0,39,0,918,15,28,19,3,1,2,0,35.94
14,0,37,2,3053,70,380,39,3,1,1,0,205.59
14,0,38,2,4798,76,22,50,1,1,1,0,301.08
7,0,38,2,2993,68,23,48,2,1,1,0,145.035
15,0,38,3,4375,92,53,43,3,1,1,0,147.15
8,0,38,2,2960,49,306,33,3,1,1,0,180.6
17,0,37,4,9715,131,165,58,3,2,1,0,340.95
11,0,38,2,14373,179,21,59,3,1,1,0,437.49
11,0,38,3,5115,93,23,40,3,1,1,0,160.35
10,0,38,2,6518,105,28,27,3,1,1,0,203.94
13,0,38,0,2838,64,29,32,3,1,2,0,93.84
29,0,38,5,15740,235,75,47,3,1,1,0,494.7
8,0,38,3,3695,37,504,23,3,1,1,0,262.05
13,0,37,2,16085,192,171,45,2,1,1,0,800.775
7,0,37,3,7100,96,207,41,3,1,1,0,275.1
4,0,37,0,1475,24,21,26,2,1,2,0,75.825
6,0,38,0,1310,24,34,23,3,1,2,0,49.5
4,0,37,0,600,10,21,15,2,1,2,1,36.45
7,0,37,2,8108,137,405,58,3,1,1,0,364.74
11,0,37,3,12065,164,32,62,4,1,1,0,185.775
12,0,37,3,7318,85,129,52,2,1,1,0,387.36
27,1,33,0,1555,57,37,32,3,1,2,1,57.75
25,0,36,10,11035,103,22,57,5,2,1,0,56.275
17,0,36,3,6418,108,47,39,2,1,1,0,309.96
5,0,34,2,3440,32,21,29,3,1,1,0,109.5
13,1,35,0,3590,51,30,31,3,1,2,1,116.7
13,1,36,0,2868,54,55,46,3,1,2,1,102.54
4,0,36,0,733,12,21,17,3,1,2,1,28.29
5,0,36,2,2268,35,21,21,4,1,1,0,37.17
7,0,33,3,7385,107,35,37,5,1,1,0,38.675
